Universidad,Carrera,Cuatrimestre,Periodo,Materia
UP Altamira - Universidad Politécnica,Ing. Industrial,8,Cuatrimestre 8,Inglés VII
UP Altamira - Universidad Politécnica,Ing. Industrial,8,Cuatrimestre 8,Investigación de Operaciones II
UP Altamira - Universidad Politécnica,Ing. Industrial,8,Cuatrimestre 8,Logística
UP Altamira - Universidad Politécnica,Ing. Industrial,9,Cuatrimestre 9,Administración Industrial y de Servicios
UP Altamira - Universidad Politécnica,Ing. Industrial,9,Cuatrimestre 9,Administración del Mantenimiento
UP Altamira - Universidad Politécnica,Ing. Industrial,9,Cuatrimestre 9,Inglés VIII
UP Altamira - Universidad Politécnica,Ing. Industrial,9,Cuatrimestre 9,Legislación Industrial
UP Altamira - Universidad Politécnica,Ing. Industrial,9,Cuatrimestre 9,Manufactura Integrada por Computadora
UP Altamira - Universidad Politécnica,Ing. Industrial,9,Cuatrimestre 9,Proyecto Integrador III
UP Altamira - Universidad Politécnica,Ing. Industrial,9,Cuatrimestre 9,Simulación de Procesos
UP Altamira - Universidad Politécnica,Ing. Industrial,10,X (Estadía Ingeniería),ESTADÍA LICENCIATURA EN INGENIERÍA INDUSTRIAL
UP Altamira - Universidad Politécnica,Lic. En Comercio Int. Y Aduanas,1,Cuatrimestre 1,Comunicación y Habilidades Digitales
UP Altamira - Universidad Politécnica,Lic. En Comercio Int. Y Aduanas,1,Cuatrimestre 1,Desarrollo Humano y Valores
UP Altamira - Universidad Politécnica,Lic. En Comercio Int. Y Aduanas,1,Cuatrimestre 1,Fundamentos Matemáticos
